team_name,year,wins
Boston Bruins,1990,44
Buffalo Sabres,1990,31
Calgary Flames,1990,46
Chicago Blackhawks,1990,49
Detroit Red Wings,1990,34
Edmonton Oilers,1990,37
Hartford Whalers,1990,31
Los Angeles Kings,1990,46
Minnesota North Stars,1990,27
Montreal Canadiens,1990,39
New Jersey Devils,1990,32
New York Islanders,1990,25
New York Rangers,1990,36
Philadelphia Flyers,1990,33
Pittsburgh Penguins,1990,41
Quebec Nordiques,1990,16
St. Louis Blues,1990,47
Toronto Maple Leafs,1990,23
Vancouver Canucks,1990,28
Washington Capitals,1990,37
Winnipeg Jets,1990,26
Boston Bruins,1991,36
Buffalo Sabres,1991,31
Calgary Flames,1991,31
Chicago Blackhawks,1991,36
Detroit Red Wings,1991,43
Edmonton Oilers,1991,36
Hartford Whalers,1991,26
Los Angeles Kings,1991,35
Minnesota North Stars,1991,32
Montreal Canadiens,1991,41
New Jersey Devils,1991,38
New York Islanders,1991,34
New York Rangers,1991,50
Philadelphia Flyers,1991,32
Pittsburgh Penguins,1991,39
Quebec Nordiques,1991,20
San Jose Sharks,1991,17
St. Louis Blues,1991,36
Toronto Maple Leafs,1991,30
Vancouver Canucks,1991,42
Washington Capitals,1991,45
Winnipeg Jets,1991,33
Boston Bruins,1992,51
Buffalo Sabres,1992,38
Calgary Flames,1992,43
Chicago Blackhawks,1992,47
Detroit Red Wings,1992,47
Edmonton Oilers,1992,26
Hartford Whalers,1992,26
Los Angeles Kings,1992,39
Minnesota North Stars,1992,36
Montreal Canadiens,1992,48
New Jersey Devils,1992,40
New York Islanders,1992,40
New York Rangers,1992,34
Ottawa Senators,1992,10
Philadelphia Flyers,1992,36
Pittsburgh Penguins,1992,56
Quebec Nordiques,1992,47
San Jose Sharks,1992,11
St. Louis Blues,1992,37
Tampa Bay Lightning,1992,23
Toronto Maple Leafs,1992,44
Vancouver Canucks,1992,46
Washington Capitals,1992,43
Winnipeg Jets,1992,40
Mighty Ducks of Anaheim,1993,33
Boston Bruins,1993,42
Buffalo Sabres,1993,43
Calgary Flames,1993,42
Chicago Blackhawks,1993,39
Dallas Stars,1993,42
Detroit Red Wings,1993,46
Edmonton Oilers,1993,25
Florida Panthers,1993,33
Hartford Whalers,1993,27
Los Angeles Kings,1993,27
Montreal Canadiens,1993,41
New Jersey Devils,1993,47
New York Islanders,1993,36
New York Rangers,1993,52
Ottawa Senators,1993,14
Philadelphia Flyers,1993,35
Pittsburgh Penguins,1993,44
Quebec Nordiques,1993,34
San Jose Sharks,1993,33
St. Louis Blues,1993,40
Tampa Bay Lightning,1993,30
Toronto Maple Leafs,1993,43
Vancouver Canucks,1993,41
Washington Capitals,1993,39
Winnipeg Jets,1993,24
Mighty Ducks of Anaheim,1994,16
Boston Bruins,1994,27
Buffalo Sabres,1994,22
Calgary Flames,1994,24
Chicago Blackhawks,1994,24
Dallas Stars,1994,17
Detroit Red Wings,1994,33
Edmonton Oilers,1994,17
Florida Panthers,1994,20
Hartford Whalers,1994,19
Los Angeles Kings,1994,16
Montreal Canadiens,1994,18
New Jersey Devils,1994,22
New York Islanders,1994,15
New York Rangers,1994,22
Ottawa Senators,1994,9
Philadelphia Flyers,1994,28
Pittsburgh Penguins,1994,29
Quebec Nordiques,1994,30
San Jose Sharks,1994,19
St. Louis Blues,1994,28
Tampa Bay Lightning,1994,17
Toronto Maple Leafs,1994,21
Vancouver Canucks,1994,18
Washington Capitals,1994,22
Winnipeg Jets,1994,16
Mighty Ducks of Anaheim,1995,35
Boston Bruins,1995,40
